license_number,dba,district,county_number,county_name,license_type_code,location_address,location_city,location_zip_code,long,lat,number_of_inspections,number_of_total_violations,number_of_total_violations_ranked,simple_sum_score_health,simple_sum_score_health_ranked,simple_sum_score_administrative,simple_sum_score_administrative_ranked,simple_sum_score_facility,simple_sum_score_facility_ranked,serialid
1102545,PARAMOUNT GRILL,D5,11,Alachua,2010,12 SW 1 AVE,GAINESVILLE,326016244,,,2,6,0.5621844839,5.5,0.8242103634,0,0.2904199145,0.5,0.2874025647,77
1102595,HAILE PLANTATION GOLF & CC,D5,11,Alachua,2010,9905 SW 44 AVE,GAINESVILLE,32608,,,2,8.5,0.7307208758,5.5,0.8242103634,0,0.2904199145,1.5,0.6478307963,79
1102706,GATORS DEN SPORTS GRILL,D5,11,Alachua,2010,4210 NW 97 BLVD,GAINESVILLE,32606,,,1,4,0.3849345274,3,0.520202704,0,0.2904199145,1,0.4724956964,84
1102714,THE BAGEL COMPANY,D5,11,Alachua,2010,4113 NW 16 BLVD,GAINESVILLE,32606,,,2,4,0.3849345274,3,0.520202704,0.5,0.7254695267,0,0.1068257867,86
1102731,WENDYS,D5,11,Alachua,2010,16105 MARTIN L KING BLVD,ALACHUA,32615,,,2,6.5,0.6020676583,2.5,0.4410359568,0,0.2904199145,2.5,0.863871105,89
1102738,SONNY'S REAL PIT BBQ RESTAURANT,D5,11,Alachua,2010,9213 NW 39 AVE,GAINESVILLE,32609,,,2,13.5,0.9031353359,6.5,0.8945281523,0,0.2904199145,3.5,0.9560743506,90
1102747,BURGER KING 12956,D5,11,Alachua,2010,9401 NW 39 AVE,GAINESVILLE,32606,,,2,4.5,0.4325254831,3,0.520202704,0,0.2904199145,1.5,0.6478307963,91
1102792,CHICK FIL A,D5,11,Alachua,2010,3621 SW ARCHER RD,GAINESVILLE,32608,,,1,6,0.5621844839,4,0.6635655016,0,0.2904199145,1,0.4724956964,93
1102823,KENTUCKY FRIED CHICKEN,D5,11,Alachua,2010,3750 NW 13 ST,GAINESVILLE,32609,,,3,5,0.4775826386,2,0.3567919383,1,0.9018974488,2,0.769540241,95
1102824,POMODORO CAFE,D5,11,Alachua,2010,9200 NW 39 AVE STE 100,GAINESVILLE,32606,,,2,5.5,0.5214792751,3.5,0.5967582832,0.5,0.7254695267,0.5,0.2874025647,96
1102843,CARIBBEAN QUEEN,D5,11,Alachua,2010,507 NW 5 AVE,GAINESVILLE,32601,,,2,7,0.6371636912,3,0.520202704,0,0.2904199145,1.5,0.6478307963,97
1102844,SANDY'S PLACE,D5,11,Alachua,2010,5001 NW 34 ST STE G,GAINESVILLE,32605,,,2,9,0.7553045396,4.5,0.7258176824,0,0.2904199145,2,0.769540241,98
1102848,DOMINO'S PIZZA 3213,D5,11,Alachua,2010,25 NW 16 AVE,GAINESVILLE,32601,,,2,5.5,0.5214792751,2,0.3567919383,1,0.9018974488,2.5,0.863871105,100
1102862,FIVE STAR PIZZA,D5,11,Alachua,2010,600 NW 75 ST STE D,GAINESVILLE,32607,,,1,7,0.6371636912,3,0.520202704,1,0.9018974488,1,0.4724956964,102
1102927,MARKS US PRIME,D5,11,Alachua,2010,"201 SE 2 AVE, UNIT 102 & 103",GAINESVILLE,32601,,,1,6,0.5621844839,6,0.8620819713,1,0.9018974488,0,0.1068257867,111
